teff,mag,lum_class
3068,16.12,5
3042,16.6,5
2600,18.7,5
2800,16.65,5
1939,20.06,5
2840,16.98,5
2637,17.22,5
2600,17.4,5
2650,17.45,5
2700,16.05,5
3600,10.69,5
3129,11.79,5
3134,13.21,5
3628,10.48,5
2650,11.782,5
3340,13.07,5
2799,14.79,5
3692,10.8,5
3192,13.53,5
3441,11.18,5
25000,10.58,7
7740,14.02,7
7220,14.23,7
8500,14.5,7
16500,11.89,7
12990,12.23,7
8570,14.2,7
7700,14.47,7
11790,12.59,7
7230,14.08,7
39000,-4.7,5
30000,-4.2,5
15276,-1.97,5
9700,0.16,5
5800,5.05,5
8052,2.42,5
6757,2.41,5
6380,2.93,5
5936,4.46,5
5587,5.03,5
3826,-6.93,1
3365,-6.2,1
3270,-6.02,1
3200,-7.22,1
3008,-6.0,1
3600,-6.6,1
3575,-6.78,1
3574,-5.24,1
3625,-6.74,1
33750,-6.1,1
3490,-9.4,0
3750,-7.63,0
3834,-9.2,0
3749,-8.05,0
3650,-7.79,0
3450,-11.75,0
3660,-11.92,0
3450,-11.28,0
3752,-11.24,0
3535,-11.36,0
3341,16.23,5
3432,16.94,5
2983,16.09,5
2835,16.96,5
2935,18.89,5
3295,17.13,5
2945,18.34,5
2817,16.45,5
2774,17.39,5
2871,19.43,5
3345,12.3,5
3607,10.12,5
3304,13.2,5
3150,11.94,5
3550,10.89,5
3180,11.76,5
2890,13.46,5
3342,11.87,5
2621,12.81,5
3158,13.98,5
7100,14.09,7
10574,12.02,7
8930,13.78,7
17200,12.45,7
14100,12.17,7
9675,13.98,7
12010,12.13,7
10980,11.19,7
13720,12.97,7
19860,11.34,7
5300,5.49,5
4526,6.506,5
4077,6.228,5
4980,4.78,5
9030,1.45,5
11250,-2.3,5
5112,4.68,5
7720,2.44,5
12098,0.02,5
36108,-4.4,5
33300,-6.5,1
40000,-6.23,1
23000,-5.76,1
17120,-6.89,1
11096,-5.91,1
14245,-6.12,1
24630,-5.83,1
12893,-6.34,1
24345,-6.24,1
33421,-5.79,1
3459,-10.7,0
3605,-10.81,0
3615,-11.33,0
3399,-10.92,0
3610,-10.86,0
3553,-11.03,0
4015,-11.39,0
3625,-10.25,0
6850,-10.07,0
3780,-10.7,0
3323,17.16,5
3531,19.94,5
3218,20.02,5
3146,16.92,5
3511,17.12,5
3225,19.63,5
2935,16.88,5
2861,16.71,5
2856,19.56,5
2731,18.09,5
3095,10.87,5
3607,10.34,5
3100,11.17,5
2989,13.12,5
3542,14.23,5
3243,14.75,5
3091,11.43,5
3598,14.26,5
3324,12.23,5
3541,14.33,5
13420,13.67,7
21020,11.52,7
18290,12.78,7
14520,11.92,7
11900,11.38,7
8924,14.87,7
12912,12.83,7
14732,12.89,7
7723,14.81,7
12984,11.23,7
29560,-4.01,5
8945,0.12,5
14060,-2.04,5
16390,-3.32,5
25070,-3.98,5
28700,-4.09,5
26140,-3.8,5
20120,-3.4,5
13023,-1.38,5
37800,-4.56,5
25390,-5.92,1
11567,-6.245,1
12675,-5.62,1
5752,-6.63,1
8927,-7.34,1
7282,-7.22,1
19923,-5.69,1
26373,-5.83,1
17383,-6.09,1
9373,-5.99,1
3570,-7.58,0
3500,-8.18,0
4287,-9.2,0
26000,-9.1,0
3600,-7.89,0
3614,-7.71,0
18000,-8.3,0
11000,-9.9,0
12100,-7.84,0
24490,-8.24,0
2831,16.21,5
2914,18.39,5
3419,17.56,5
3218,17.34,5
3453,17.08,5
2889,16.93,5
2968,17.45,5
3484,16.67,5
2778,19.45,5
3523,16.35,5
3462,11.47,5
3257,10.73,5
2994,13.45,5
3212,12.854000000000001,5
3523,12.43,5
3598,13.667,5
3142,14.12,5
3496,14.94,5
3324,12.78,5
3463,14.776,5
16790,12.87,7
15680,11.92,7
14982,12.23,7
13340,12.9,7
18340,11.22,7
19920,11.34,7
24020,10.55,7
23092,10.18,7
17920,11.66,7
19360,11.62,7
22350,-3.67,5
10012,0.013000000000000001,5
13089,-0.12,5
22012,-2.55,5
34190,-4.57,5
32460,-4.36,5
9320,1.236,5
19400,-3.08,5
17140,-2.64,5
8250,-0.98,5
23678,-6.27,1
12749,-7.02,1
9383,-6.98,1
23440,-5.975,1
16787,-6.35,1
18734,-7.45,1
9892,-7.2620000000000005,1
10930,-6.224,1
23095,-5.905,1
21738,-7.346,1
24145,-8.84,0
38234,-9.29,0
32489,-10.84,0
27739,-7.59,0
21904,-7.67,0
38940,-9.93,0
30839,-10.63,0
8829,-10.73,0
9235,-11.23,0
37882,-7.8,0
7400,-5.71,2
8128,-4.0,2
7268,-2.71,2
5160,-2.28,2
7977,-4.61,2
7595,-4.67,2
8023,-4.89,2
8004,-3.75,2
6563,-0.8,2
3900,-3.66,2
7748,-2.24,2
6800,-2.21,2
5868,-1.82,2
6270,-3.51,2
6533,-3.32,2
6102,-2.52,2
5443,-3.37,2
5386,-2.8,2
6598,-4.44,2
6410,-2.67,2
6300,-2.39,2
3613,-2.69,2
3539,-1.4,2
4613,-2.51,2
3689,-1.41,2
3660,-2.58,2
3550,-3.3,2
6100,-3.26,2
6305,-2.85,2
6190,-2.5,2
5976,-3.53,2
5196,-0.17,2
5333,-0.93,2
4586,-1.08,3
4918,0.55,3
4286,-0.3,3
4652,-0.76,3
3000,0.99,3
3900,-0.64,3
2950,-0.99,3




9250,-5.447,1
9250,-6.636,1
10300,-5.867000000000001,1
16700,-5.888,1
10300,-4.114,1
6300,-5.249,1
12900,-5.553,1


7500,-2.8960000000000004,2
4400,-2.05,2
5500,-2.11,2
4700,-2.56,2
4550,-2.17,2
5200,-2.08,2
4700,-2.03,2
6450,-2.25,2
7200,-2.29,2
5100,-2.58,2
7200,-2.7,2
4700,-2.06,2
6450,-2.17,2


4700,1.5919999999999999,3
5200,0.13,3
4850,1.35,3
5000,1.98,3
6000,1.345,3

4850,1.72,3
4550,1.33,3
3350,1.41,3
5000,1.77,3
3400,1.78,3
5400,1.75,3
4700,0.11,3
4550,1.79,3
3500,1.98,3
4700,1.86,3
5200,1.64,3
4850,1.85,3
3450,-0.36,3
4850,0.65,3
4550,-0.26,3
4850,1.08,3
5000,1.72,3
5200,1.73,3
5400,1.87,3
4550,0.02,3
4400,0.87,3
5000,1.37,3
4550,1.45,3
4550,1.87,3
5000,1.28,3
5200,1.12,3
5000,1.91,3
5000,1.2,3
4700,1.62,3
4400,1.37,3
3350,1.33,3
5000,1.54,3
5000,1.64,3
4850,1.12,3
4250,0.91,3
5400,1.62,3
4250,1.46,3
5000,1.51,3
4250,1.24,3
5200,1.91,3
4550,0.94,3
4400,1.75,3
4850,1.62,3
4850,1.28,3
5000,1.92,3
3450,1.78,3
4700,1.81,3
5000,1.91,3
4850,1.74,3
5200,1.54,3
4250,1.6,3
4250,1.22,3
5500,1.72,3
5400,0.59,3
3400,1.15,3
3500,0.51,3
4700,1.16,3
3350,0.73,3
5000,1.95,3
5000,1.78,3
5000,1.49,3
5200,1.7,3
5200,1.46,3
4550,0.91,3
4850,1.94,3
5000,1.49,3
5000,1.5,3
5200,1.42,3
4550,0.68,3
4550,1.25,3
4850,1.48,3
5200,1.41,3
5500,1.11,3
3300,-0.48,3
4850,1.39,3
4700,1.11,3
4850,1.94,3
5000,1.78,3
4700,1.0,3
4250,0.83,3
5500,0.56,3
4700,0.51,3
5000,1.95,3
4700,1.95,3
5100,1.56,3
5200,1.68,3
5500,0.61,3
5000,1.69,3
4550,1.09,3
5200,0.0,3
4700,1.1,3
4850,1.89,3
5000,1.67,3
5000,1.87,3
3250,0.4,3
4700,1.6,3
5200,1.56,3
5000,1.77,3
4550,0.53,3
4850,0.5,3
4250,1.4,3
5100,1.95,3
5200,1.18,3
5000,1.56,3
5500,-0.58,3
4700,1.86,3
5000,1.57,3
4700,1.3,3
4550,0.95,3
4700,1.85,3
5000,1.85,3
5200,0.74,3
5200,1.51,3
4700,0.13,3
5100,1.97,3
5200,1.98,3
4850,0.89,3
4850,1.28,3
5500,0.86,3
5200,1.72,3
5200,1.47,3
5300,0.56,3
4700,0.62,3
4700,1.53,3
3250,1.16,3
3450,0.84,3
4850,1.22,3
4850,1.66,3
4550,0.54,3
5200,1.98,3
4700,1.46,3
3250,1.73,3
5000,1.58,3
5300,1.0,3
5000,1.78,3
4850,1.66,3
4550,0.94,3
4700,1.85,3
5200,1.19,3
5000,1.75,3
5000,1.44,3
4700,0.83,3
4400,1.69,3
5200,1.12,3
5000,1.53,3
4550,0.81,3
4550,1.45,3
5200,1.9,3
5200,1.19,3
5000,1.98,3
5100,1.61,3
4850,1.25,3
4100,0.85,3
4400,0.34,3
4250,1.21,3
4550,-0.36,3
4400,0.55,3
5000,1.42,3
3350,0.88,3
5000,1.48,3
3400,1.01,3
5000,1.93,3
5200,1.7,3
5000,1.07,3
5100,1.43,3
3500,1.27,3
3350,1.63,3
4250,1.05,3
5300,0.78,3
5200,1.01,3
5200,1.54,3
3350,0.69,3
4850,1.4,3
5200,1.87,3
4850,1.78,3
5100,1.07,3
4400,0.89,3
4250,1.44,3
5000,1.95,3
5000,1.28,3
4550,0.64,3
5200,0.91,3
4700,1.31,3
5200,0.52,3
4700,0.92,3
4550,0.78,3
5000,1.99,3
5000,1.22,3
5000,1.9,3
5000,1.57,3
5200,1.3,3
4850,1.05,3
4700,1.26,3
5200,0.87,3
3350,1.12,3
5000,1.92,3
5000,1.19,3
4400,1.12,3
4550,1.6,3
5000,1.88,3
4850,0.24,3
5000,0.96,3
5200,1.15,3
5000,1.79,3
5000,1.46,3
5200,1.5,3
5200,1.69,3
4850,0.34,3
4850,1.74,3
5000,1.97,3
3500,1.02,3
5000,1.78,3
4250,1.39,3
5100,1.68,3
4400,1.53,3
4250,1.69,3
5100,0.61,3
5200,1.49,3
5200,1.1,3
5200,1.35,3
4400,0.89,3
4550,0.59,3
5200,0.58,3
5000,1.85,3
5000,1.11,3
4850,1.96,3
5400,0.69,3
4550,0.2,3
5200,1.25,3
5000,1.87,3
5200,1.74,3
5600,1.87,3
4400,1.5,3
3350,0.48,3
3500,1.04,3
4250,0.75,3
5000,1.93,3
3450,0.71,3
4850,1.54,3
3250,1.31,3
5400,0.66,3
4400,1.93,3
5200,0.69,3
5000,1.95,3
5200,1.56,3
4400,0.89,3
4850,1.38,3
5000,1.54,3
4400,1.74,3
4700,1.24,3
5000,1.74,3
4400,0.91,3
5200,1.84,3
4550,1.67,3
5200,0.33,3
4400,1.66,3
4700,1.98,3
5000,1.83,3
5000,1.13,3
5200,1.01,3
4850,0.35,3
5000,1.45,3
4400,1.43,3
6000,0.9,3
4700,1.29,3
4400,0.84,3
3450,0.63,3
4400,-0.83,3
3250,1.62,3
4700,1.62,3
4550,1.44,3
5000,1.65,3
4550,1.4,3
4850,1.51,3
