pl_orbper,pl_discmethod,st_dist,pl_rade,pl_bmasse,pl_orbsmax,st_teff,pl_pnum,st_rad,st_mass,pl_publ_date
262.70862000,Radial Velocity,37.89,,772.32690,0.840000,5645.00,2,1.20,1.20,2001-04
1708.00000000,Radial Velocity,37.89,,575.88400,2.814500,5645.00,2,1.20,1.20,2003-04
471.60001000,Radial Velocity,504.71,,3480.23850,1.250000,4175.00,1,38.41,2.24,2005-07
19.38200000,Radial Velocity,79.73,,274.91000,0.154000,6255.00,2,1.67,1.29,2014-03
931.00000000,Radial Velocity,79.73,,1630.40000,2.030000,6255.00,2,1.67,1.29,2014-03
4218.00000000,Radial Velocity,47.46,,699.22600,5.150000,5867.00,1,1.25,1.30,2010-10
1455.00000000,Radial Velocity,142.60,,2479.00000,3.400000,4815.00,1,12.40,2.40,2014-12
75.52300000,Radial Velocity,37.83,,82.63580,0.360000,5757.00,1,1.48,1.11,2000-06
17.24000000,Radial Velocity,25.41,,22.10000,0.140000,,1,,1.20,2009-06
990.00000000,Radial Velocity,59.96,,1620.93300,2.120000,5981.00,1,1.72,1.63,2009-06
359.89999000,Radial Velocity,229.89,,3219.61790,1.310000,4326.00,1,13.58,6.73,2007-11
21.21663000,Radial Velocity,78.26,12.330,1115.58330,,6040.00,1,1.55,1.41,2007-11
766.00000000,Radial Velocity,163.37,,1080.62200,1.820000,4940.00,1,5.13,1.36,2011-12
466.20000000,Radial Velocity,22.54,,435.41000,1.305000,6188.00,1,,1.36,2004-02
18.31500000,Radial Velocity,6.00,,2.70000,0.120700,5401.00,4,,0.70,2011-10
40.11400000,Radial Velocity,6.00,,2.40000,0.203600,5401.00,4,,0.70,2011-10
90.30900000,Radial Velocity,6.00,,4.80000,0.349900,5401.00,4,,0.70,2011-10
567.94000000,Radial Velocity,40.59,,104.30000,1.282000,5110.00,2,0.85,0.67,2010-03
1311.00000000,Radial Velocity,33.01,,400.40000,2.560000,5999.00,1,,1.30,2003-05
1334.28000000,Radial Velocity,26.71,,706.53609,2.497000,5909.00,1,1.39,1.17,2002-12
148.60001000,Radial Velocity,380.33,,333.72150,0.610000,4639.00,1,9.83,0.81,2015-04
118.45000000,Radial Velocity,36.70,,181.16310,0.460000,5399.00,1,0.93,0.74,2004-02
